"qe25" "ko25" "kc25" "vcmx25" "ako" "akc" "avcmx" "bp" "mp" "drb" "drs" "ecp" "hv" "ocr" "sv" "wj1" "wj2" "rsmax0" "ppcd" "we1"
0.071 40600 33.6 54.2 1.27 2.15 2.54 6000 6.3 1.327 1.604 5.36 234800 0.329 725 4 8 17000 0.0003789 0.477
0.063 38200 26.2 25.4 1.2 2.15 2.22 6900 9.9 1.38 1.602 3.5 240800 0.581 729 4 10.5 28200 0.0003753 0.46
0.053 37900 45.8 58.5 1.12 2.17 2.48 8200 11.7 1.306 1.631 4.99 235300 0.619 649 1 2 23900 0.0003671 0.505
0.078 36800 30.3 61.1 1.11 2.02 2.29 3500 6.1 1.348 1.691 3.51 227600 0.418 668 1 10.5 32100 0.0003822 0.525
0.042 41700 27.9 34.6 1.17 2.28 2.43 9300 8.1 1.348 1.617 4.53 223300 0.358 699 1 10.5 18400 0.0003635 0.508
0.069 40900 42.7 46 1.11 2.04 2.59 2200 4.7 1.313 1.607 5 218700 0.582 674 4.5 2 24600 0.0003621 0.512
0.047 33900 43.3 41.4 1.17 2 2.59 2100 8 1.341 1.623 4.06 224700 0.458 652 4.5 10.5 10200 0.0003699 0.52
0.051 38400 49.3 26.6 1.21 2.17 2.44 2900 10.1 1.337 1.661 4.81 222400 0.182 716 4 2 29100 0.0003957 0.459
0.049 44900 31.5 61.8 1.16 2.21 2.21 8200 5.5 1.344 1.62 3.38 225200 0.377 719 1 10.5 34800 0.0003616 0.525
0.057 44400 33.2 53.4 1.19 2 2.55 7800 11.8 1.332 1.609 4.56 224100 0.758 717 4.5 10.5 25600 0.0003986 0.517
0.072 41400 29.4 24.9 1.18 2.22 2.28 4900 4.2 1.358 1.623 4.74 235400 0.358 669 4.5 2 18200 0.0003792 0.461
0.05 37700 33.6 31.1 1.13 2.04 2.42 8700 5.5 1.315 1.658 3.5 227700 0.308 689 4.5 8 28300 0.0003801 0.534
0.064 36100 44 53.2 1.26 1.96 2.49 3600 11.5 1.348 1.655 4.68 234800 0.282 656 1 8 15300 0.0003937 0.512
0.068 43900 38.6 24.7 1.19 1.91 2.48 8200 10.4 1.369 1.651 3.84 218300 0.545 675 4 2 14600 0.000394 0.493
0.066 42300 46 24.1 1.24 2.29 2.57 5500 9 1.391 1.627 4.09 232500 0.2 661 4.5 8 29100 0.0003916 0.47
0.056 37900 43.4 34.8 1.17 2.01 2.23 4300 4.2 1.351 1.649 4.29 225500 0.513 674 4.5 8 22300 0.0003811 0.547
0.049 32200 40.6 50 1.25 1.95 2.45 5900 10.1 1.365 1.62 4.21 220900 0.489 723 1 8 37900 0.0003773 0.461
0.041 39600 44.5 61 1.12 2.21 2.6 7000 9.8 1.338 1.633 4.49 230400 0.303 728 4 8 19700 0.0003909 0.46
0.064 44100 30.8 59.6 1.16 2.11 2.37 7800 10.1 1.31 1.621 3.77 233400 0.493 682 4.5 10.5 23600 0.0003691 0.464
0.057 36500 46.7 35.5 1.27 2.14 2.34 5500 5.1 1.35 1.648 5.54 232400 0.626 685 4.5 2 24000 0.0003739 0.534
0.053 40200 39.6 21 1.17 1.97 2.45 7000 8 1.318 1.61 4.47 238800 0.283 656 4.5 2 10600 0.0003628 0.535
0.052 42200 25.3 22.7 1.22 2.23 2.37 5400 6.2 1.337 1.626 3.56 229600 0.713 666 4.5 8 25600 0.0003856 0.523
0.062 36700 38.3 51.3 1.14 1.95 2.24 4500 7.3 1.325 1.661 3.36 234900 0.352 680 4 10.5 24300 0.0003704 0.55
0.043 43600 25.6 33.1 1.15 2.27 2.53 5800 11.4 1.317 1.691 5.61 223400 0.577 718 1 10.5 10500 0.0003825 0.506
0.059 30800 34.6 35.4 1.15 1.96 2.37 8200 6.8 1.378 1.677 5.42 222800 0.449 659 4.5 2 19000 0.00038 0.515
0.073 33900 26.8 56.2 1.26 1.98 2.33 2900 9.3 1.31 1.622 3.77 239600 0.558 707 4.5 8 35500 0.0003707 0.461
0.046 31200 36.1 53.9 1.15 2.21 2.34 2400 11.3 1.387 1.69 3.35 225800 0.687 672 1 8 19500 0.0003914 0.514
0.064 34400 37.5 37.3 1.26 2.18 2.49 3700 6 1.357 1.647 3.61 230000 0.228 668 4.5 2 15000 0.0003976 0.53
0.05 44300 44.4 55 1.22 1.9 2.53 4200 7.2 1.341 1.608 5.77 220100 0.643 728 1 8 40000 0.0003706 0.503
0.053 43600 42.4 62 1.12 2.02 2.21 3700 10.5 1.355 1.692 3.99 219700 0.222 641 4 2 28400 0.000373 0.459
0.06 38400 33 62.2 1.19 2.16 2.42 6500 11.4 1.332 1.608 5.06 226800 0.504 641 1 8 37700 0.0003926 0.5
0.077 39700 30.1 63.2 1.15 1.97 2.6 1400 11.8 1.344 1.686 5.55 233700 0.545 684 4 10.5 31300 0.000359 0.504
0.052 44600 42.9 55 1.12 2.16 2.51 6600 5.1 1.368 1.681 5.13 232800 0.259 646 4.5 8 36100 0.0003786 0.485
0.06 38100 25.4 30.8 1.2 2.01 2.4 8700 6.8 1.325 1.618 4.1 227400 0.637 695 4 2 27400 0.00039 0.522
0.049 42400 27.5 58.3 1.11 2.29 2.46 7000 4.7 1.361 1.637 4.11 228000 0.303 723 4 10.5 25800 0.000381 0.496
0.066 34000 42.9 64 1.12 2.18 2.32 9400 5.5 1.356 1.681 5.13 241900 0.751 697 1 8 35500 0.0003936 0.516
0.063 32200 37.9 30.2 1.11 1.91 2.35 3800 9.4 1.377 1.636 5.07 222000 0.322 690 4 8 20400 0.0003837 0.507
0.046 31600 36.2 37.1 1.24 2.19 2.34 7100 9.8 1.384 1.684 4 240600 0.224 646 4.5 2 39300 0.0003978 0.49
0.043 38100 28 58.7 1.14 2.01 2.56 9000 10.9 1.357 1.645 3.52 218200 0.405 725 1 2 29600 0.0003943 0.494
0.049 31800 39.4 30.6 1.17 1.97 2.26 6900 7.2 1.302 1.67 5.38 226800 0.32 683 4.5 8 20400 0.0003654 0.489
0.079 34500 48.1 50.1 1.16 2.22 2.46 8600 11.8 1.316 1.7 5.03 225200 0.696 719 4.5 8 32600 0.0003737 0.475
0.06 44100 30.2 23.6 1.13 2.17 2.39 5800 5.9 1.396 1.696 5.32 239900 0.304 660 1 2 16700 0.0003813 0.505
0.048 44600 47.7 35.5 1.3 2.26 2.53 5400 4.2 1.38 1.641 5.79 229500 0.268 645 4 8 20500 0.0003937 0.46
0.072 34300 28.5 31.6 1.18 2.28 2.2 8100 6.1 1.374 1.621 3.66 231100 0.306 728 4 2 35400 0.0003891 0.47
0.078 32200 45.9 24.8 1.29 2.1 2.51 3100 5.7 1.383 1.655 4.45 239600 0.249 649 1 8 36100 0.0003916 0.468
0.066 38400 29.4 40.8 1.26 1.91 2.47 4100 10.4 1.375 1.632 3.4 225300 0.56 671 1 2 29100 0.0003943 0.491
0.076 35400 42.7 27 1.13 2.25 2.28 6300 9.7 1.376 1.605 4.61 237900 0.217 660 4 2 31500 0.0003641 0.514
0.062 43100 27.1 33.6 1.13 2.12 2.41 5500 10.2 1.382 1.64 3.59 230900 0.25 685 4.5 10.5 17800 0.0003781 0.478
0.059 32000 44.8 48.5 1.2 2.04 2.48 7500 6.9 1.351 1.673 5.3 233100 0.398 724 4 8 20300 0.000368 0.549
0.079 32100 43.2 24 1.15 2.24 2.6 1100 11.8 1.377 1.687 3.98 226400 0.404 647 4.5 10.5 20200 0.0003582 0.532
0.065 39700 34.3 30.6 1.14 2.24 2.51 6600 7.8 1.381 1.605 4.58 233400 0.506 707 4.5 8 37600 0.0003731 0.513
0.058 38600 42.9 23.4 1.23 2.2 2.53 5500 11.2 1.39 1.679 3.61 225300 0.641 657 4 10.5 11600 0.0003769 0.47
0.054 32200 48 20.1 1.2 1.92 2.39 3300 9 1.316 1.695 4.75 230600 0.455 642 4 8 35500 0.0003659 0.522
0.079 39900 44 27.1 1.29 2.18 2.26 8200 7.6 1.394 1.606 3.43 225800 0.529 640 4 8 35400 0.0003896 0.494
0.072 33800 39.3 46.8 1.14 1.95 2.26 3300 6.9 1.373 1.605 5.31 229200 0.687 685 1 2 16900 0.0003993 0.475
0.042 38600 45.8 48.2 1.3 1.96 2.35 6000 9.5 1.364 1.655 4.77 222100 0.696 690 4 10.5 10500 0.0003971 0.459
0.08 41700 25.6 28 1.17 2.25 2.33 2400 9.2 1.364 1.639 3.95 229800 0.592 706 4 2 14100 0.0003737 0.528
0.044 38700 46.1 49.9 1.11 1.93 2.36 8600 5.8 1.343 1.689 3.88 219600 0.236 703 4 8 10700 0.0003666 0.537
0.08 30500 38 27 1.11 1.94 2.57 8500 7.2 1.356 1.652 3.32 239500 0.315 677 1 8 27200 0.0003815 0.523
0.078 43300 29.4 23.9 1.11 2.04 2.53 6900 6.2 1.368 1.675 4.86 240100 0.67 724 4 10.5 18100 0.0003675 0.486
0.075 39000 28.4 44.1 1.27 2.11 2.21 1800 7.1 1.351 1.681 5.52 232200 0.66 722 1 10.5 23200 0.0003601 0.488
0.073 32900 29.2 26.8 1.11 2.18 2.23 7600 6.3 1.331 1.695 4.01 221500 0.701 680 1 2 22300 0.0003969 0.489
0.046 37800 45 40.4 1.25 2.2 2.28 4500 6.9 1.32 1.605 4.15 227300 0.509 679 4.5 10.5 32600 0.0003696 0.494
0.078 44600 41.5 22.8 1.12 1.99 2.23 8300 5.4 1.384 1.686 4.81 233000 0.198 655 4.5 2 27800 0.0003733 0.509
0.065 33800 48.4 48.7 1.28 2.13 2.31 3800 6.7 1.357 1.666 4.12 238100 0.459 708 4 10.5 21400 0.0003638 0.489
0.063 35400 45.9 48.2 1.21 2.11 2.47 5900 6.6 1.388 1.692 4.45 221500 0.294 694 4.5 8 18900 0.0003782 0.455
0.049 33300 26.1 38.4 1.16 2 2.56 1900 11.4 1.396 1.674 4.93 229200 0.763 646 4 2 33900 0.0003594 0.505
0.055 42200 49.6 47.5 1.12 2.02 2.35 9400 7.8 1.332 1.64 5.74 231800 0.651 654 4 10.5 19500 0.0003892 0.485
0.061 32200 43.4 34.7 1.24 2.3 2.36 3400 10.9 1.333 1.676 4.69 241700 0.77 646 4 8 13900 0.0003814 0.456
0.062 43000 41.2 56.9 1.29 2.25 2.4 7600 5.5 1.395 1.616 3.47 229300 0.195 653 4.5 10.5 14500 0.0003829 0.522
0.07 42300 40.6 52.7 1.23 2.03 2.38 3500 11.6 1.36 1.696 5.58 222700 0.638 708 4 8 16800 0.0003974 0.539
0.06 34400 35.8 39.2 1.22 1.95 2.31 4000 5.6 1.34 1.696 3.63 230600 0.623 709 4 10.5 35200 0.0003557 0.502
0.071 31100 39.2 61.2 1.27 2.25 2.34 5300 8.7 1.3 1.682 4.58 219800 0.467 706 4 8 39100 0.0003655 0.544
0.07 35900 37.4 40 1.29 1.97 2.31 6800 10.6 1.395 1.65 4.83 225800 0.255 684 1 10.5 17300 0.000398 0.528
0.074 34700 26.3 59.6 1.11 2.02 2.25 4800 9.6 1.313 1.616 3.43 226600 0.261 654 4.5 2 36700 0.0003822 0.52
0.041 38600 35.4 37.8 1.11 1.92 2.29 5500 11.1 1.399 1.647 3.99 224200 0.302 666 1 8 16700 0.0003947 0.519
0.077 35200 40.5 60.8 1.22 2.03 2.47 7900 10.5 1.3 1.675 3.93 237100 0.707 674 1 8 38100 0.0003668 0.477
0.049 39700 26.2 37.2 1.22 2.28 2.3 7700 6.5 1.394 1.644 4.76 220300 0.372 724 4 8 10400 0.0003627 0.515
0.064 34500 47.4 23.4 1.25 2.15 2.38 1800 8 1.376 1.613 3.95 218400 0.541 681 4 10.5 32700 0.0003863 0.47
0.061 39300 47.6 25.1 1.25 2.1 2.21 2700 5.1 1.366 1.648 5.51 224700 0.379 685 4.5 2 35600 0.0003717 0.462
0.063 32000 28.3 46.4 1.3 1.97 2.32 7400 4.8 1.303 1.621 4.99 224500 0.2 653 4.5 8 24900 0.0003631 0.5
0.064 42200 26.1 36.1 1.12 2.08 2.38 3300 4.5 1.333 1.635 5.64 232700 0.759 718 4.5 8 23700 0.0003567 0.507
0.048 43200 30.4 29.4 1.25 1.99 2.35 8700 11.3 1.382 1.644 4.51 240300 0.226 708 1 2 33600 0.0003784 0.55
0.046 37900 25.1 37.1 1.21 1.93 2.55 4600 7.8 1.331 1.671 5.25 233300 0.447 668 1 2 32500 0.0003999 0.48
0.064 34800 48 63.7 1.11 2.02 2.31 8000 5.8 1.302 1.671 5.57 226500 0.631 643 1 2 26900 0.0003779 0.523
0.048 30200 43.7 49.8 1.27 2.15 2.23 6900 10.1 1.33 1.66 4.9 233700 0.408 668 1 10.5 35000 0.0003862 0.464
0.062 31700 33.1 52.1 1.24 2.1 2.49 6600 8.1 1.373 1.673 5.67 237700 0.708 652 4.5 8 17000 0.0003619 0.459
0.042 38200 28 62.4 1.13 1.98 2.39 2500 10.1 1.363 1.641 3.57 239900 0.629 644 4.5 10.5 24200 0.0003815 0.501
0.042 38600 39.4 31.4 1.2 2.02 2.44 1900 9.5 1.347 1.629 4.9 241000 0.211 699 1 8 39500 0.0003685 0.504
0.072 31900 44.3 50.1 1.27 2.17 2.32 7600 8.7 1.337 1.66 4.35 221400 0.693 657 4 10.5 32100 0.0003845 0.474
0.05 41500 28.4 48.2 1.17 2.16 2.51 9600 8.7 1.347 1.627 4.27 241700 0.226 686 4.5 2 24100 0.0003696 0.473
0.044 35900 29.7 63.9 1.19 2.14 2.39 1400 5.9 1.384 1.672 4.71 229400 0.756 672 4.5 8 28200 0.0003744 0.487
0.053 37600 44.4 63.6 1.29 2.16 2.3 3900 5.1 1.387 1.606 5.56 236100 0.495 717 1 2 30300 0.0003891 0.529
0.049 30000 28.8 58.9 1.13 2 2.28 7200 6.3 1.369 1.647 3.82 233400 0.727 711 4.5 10.5 22700 0.0003721 0.455
0.047 30100 27.4 27 1.2 2.1 2.37 6400 4.6 1.317 1.661 3.31 241700 0.589 694 4.5 10.5 13200 0.0003925 0.47
0.054 43700 37.9 39.9 1.14 2.01 2.41 9100 6.3 1.342 1.691 4.07 229800 0.488 665 4.5 10.5 36300 0.0003852 0.544
0.069 36100 38 30.6 1.23 1.95 2.37 8100 5.7 1.381 1.697 4.39 234200 0.535 648 4.5 10.5 13100 0.0003886 0.532
0.073 41500 33.2 55.5 1.28 1.94 2.48 3800 10.1 1.322 1.638 3.43 233700 0.245 681 1 8 34200 0.0003694 0.545
0.076 39000 25.7 35.3 1.23 2.22 2.21 3500 10 1.324 1.653 5.14 219000 0.451 679 1 2 27300 0.0003857 0.484
0.057 30900 32.2 46.4 1.21 1.93 2.27 8700 9.5 1.33 1.678 4.48 233200 0.348 659 1 10.5 34400 0.0003626 0.455
0.06 33100 38.7 39.2 1.2 1.99 2.26 9900 10.3 1.306 1.612 3.52 230800 0.267 729 1 2 24600 0.0003572 0.541
0.068 41500 44.3 52.5 1.24 2.15 2.33 6300 9.8 1.382 1.638 5.39 220700 0.306 701 4 10.5 16200 0.0003993 0.497
0.047 41900 29 28.3 1.16 2.27 2.31 4600 9.4 1.315 1.639 4.34 219600 0.388 702 4.5 8 26500 0.0003938 0.493
0.061 34800 32.4 23.8 1.12 2.01 2.44 3000 8.5 1.391 1.629 3.96 225800 0.732 711 4.5 2 27700 0.0003979 0.531
0.06 35700 40.5 38.3 1.2 2.12 2.48 2600 10.4 1.349 1.6 3.62 225700 0.523 689 1 8 30200 0.0003943 0.535
0.068 34500 46.5 30 1.27 2.29 2.48 4600 9.1 1.319 1.68 4.05 240600 0.688 668 4 2 19900 0.000374 0.489
0.044 40500 46.1 24.5 1.25 2.25 2.59 9700 9.5 1.351 1.65 3.34 228700 0.223 648 1 10.5 20900 0.0003648 0.469
0.041 38600 25 58.2 1.27 2.19 2.29 7100 8.5 1.358 1.699 5.11 234800 0.319 642 4.5 10.5 33200 0.0003864 0.544
0.059 42700 41.6 41.1 1.28 1.97 2.5 4700 10 1.346 1.606 3.33 220900 0.272 716 4.5 8 16000 0.0003909 0.468
0.073 42900 28.6 44.6 1.12 1.99 2.6 8600 4.8 1.369 1.68 3.87 233600 0.651 680 1 2 38600 0.0003828 0.514
0.044 32300 46.3 50.5 1.22 2.16 2.28 6400 10.2 1.316 1.629 4.22 229700 0.598 675 4.5 10.5 11700 0.0003727 0.547
0.075 44900 45.1 34.2 1.2 2.26 2.31 5600 9.8 1.311 1.65 4.98 218700 0.711 669 4.5 8 24800 0.0003939 0.472
0.049 37100 29.6 55.1 1.28 2.05 2.27 2500 4.8 1.322 1.653 5.56 218100 0.47 670 4.5 8 13100 0.0003658 0.468
0.061 42500 36 55.3 1.2 1.91 2.57 1400 8.1 1.36 1.635 3.6 237200 0.588 702 4.5 2 39400 0.000376 0.505
0.072 32500 48.2 49.5 1.27 2.19 2.26 6700 9.7 1.347 1.689 5.02 234700 0.525 665 1 10.5 24300 0.0003713 0.461
0.063 35900 44.5 57.4 1.13 2.22 2.51 6300 5.9 1.308 1.645 4.57 230900 0.653 708 4 10.5 10200 0.0003625 0.473
0.048 31000 29.9 27.3 1.1 1.97 2.25 8500 6.3 1.378 1.638 3.66 240800 0.688 727 4 10.5 28300 0.0003613 0.497
0.045 37700 37 50.2 1.18 2.02 2.43 2000 7.2 1.372 1.677 4.89 240800 0.455 722 4 8 35600 0.0003818 0.516
0.056 41300 48.7 44.6 1.11 2.05 2.58 3400 10.7 1.333 1.699 5.23 220900 0.531 645 4.5 8 36200 0.0003749 0.545
0.044 39000 27.3 56.4 1.12 2.06 2.24 9600 11.2 1.309 1.673 5.2 239900 0.277 644 4.5 2 18500 0.0003877 0.453
0.07 42600 46.1 20.8 1.14 1.9 2.22 1500 10.8 1.305 1.645 5.52 230100 0.676 644 1 10.5 20800 0.0003765 0.458
0.056 42400 30.2 44.1 1.25 1.93 2.58 8300 4.7 1.349 1.635 4.27 232400 0.635 708 4.5 10.5 38600 0.0003583 0.474
0.057 36800 45.7 25.8 1.14 1.99 2.21 8900 9.3 1.315 1.657 3.52 241200 0.71 687 4 2 34600 0.0003886 0.544
0.062 34000 34.6 62.2 1.17 1.93 2.46 6100 11.6 1.37 1.691 3.89 226300 0.347 682 4 2 14000 0.0003837 0.519
0.056 30900 40.3 29.9 1.12 1.92 2.28 9800 4.7 1.37 1.695 3.59 241400 0.271 726 1 10.5 16900 0.0003756 0.544
0.053 44900 40.4 24.5 1.18 1.97 2.23 8400 4.1 1.315 1.615 3.66 231900 0.566 724 4.5 8 13800 0.0003824 0.518
0.05 31800 33.6 21.9 1.17 2.09 2.6 2500 10.7 1.397 1.697 4.48 238300 0.461 723 4.5 10.5 32900 0.0003853 0.48
0.072 42500 36.1 31.2 1.28 2.1 2.23 9400 9.6 1.395 1.601 3.83 225000 0.363 659 1 8 20500 0.0003835 0.525
0.063 31100 30.7 51.9 1.24 2.11 2.25 9100 10.8 1.311 1.693 5.12 239300 0.377 715 4 2 26200 0.0003787 0.454
0.049 41900 26.7 23.2 1.23 1.98 2.52 8500 8.8 1.349 1.665 5.45 238100 0.223 643 4 2 35700 0.0003656 0.474
0.045 43500 32.1 28.5 1.13 1.94 2.33 4700 11 1.388 1.658 3.96 226400 0.507 698 4.5 8 12700 0.0003571 0.499
0.074 41700 36.9 25.7 1.24 2.26 2.57 9000 11.4 1.386 1.664 3.99 225800 0.628 728 4 8 11100 0.0003939 0.521
0.08 37800 27.9 53.3 1.12 2.04 2.56 3200 5.7 1.397 1.68 3.67 219400 0.684 661 4.5 2 36900 0.0003822 0.542
0.066 42500 25.7 53.6 1.19 1.99 2.51 7900 6 1.375 1.65 5.29 237900 0.416 688 4.5 2 28000 0.0003925 0.501
0.072 42200 29 47.4 1.24 2.2 2.49 7900 9.7 1.38 1.689 3.87 222200 0.326 696 4.5 10.5 21900 0.0003977 0.456
0.078 36300 32.9 20.9 1.12 2.03 2.3 4700 8 1.34 1.644 4.14 226600 0.377 697 4 10.5 10800 0.0003672 0.508
0.06 30100 28.9 39.4 1.16 2.15 2.27 1400 6 1.33 1.63 5.33 232100 0.62 664 4.5 10.5 25800 0.0003714 0.471
0.076 42700 38 30.1 1.27 2.17 2.43 1200 7.8 1.371 1.612 4.42 228700 0.399 697 4.5 10.5 32500 0.0003552 0.546
0.06 42500 44.4 60.2 1.27 1.94 2.48 5900 9 1.377 1.684 3.45 220700 0.189 643 4.5 8 36200 0.0003879 0.476
0.066 41500 49.7 26.1 1.3 1.99 2.31 3400 9.5 1.31 1.623 5.62 232800 0.182 722 4.5 8 38100 0.0003851 0.537
0.043 42800 27.9 35.6 1.14 2.13 2.43 6100 4.6 1.363 1.699 4.9 223900 0.346 686 4 10.5 14600 0.0003921 0.455
0.046 34600 28.6 63 1.16 1.95 2.28 1700 7.3 1.363 1.613 4.53 237000 0.429 667 1 10.5 28700 0.0003598 0.481
0.069 37100 45.6 24.2 1.27 2.09 2.47 7200 11.6 1.348 1.678 5 241000 0.662 708 1 10.5 20600 0.0003589 0.498
0.056 44000 37.5 33.6 1.19 2.14 2.4 9800 11.5 1.349 1.643 4.8 223900 0.544 651 4 8 14600 0.0003681 0.54
0.057 32800 35.4 43.2 1.17 1.92 2.32 10000 11.2 1.352 1.654 3.49 221600 0.371 694 1 10.5 34500 0.0003981 0.549
0.07 43800 46.6 59 1.16 1.9 2.43 5100 10.1 1.387 1.667 5.79 241700 0.371 670 4 8 14200 0.0003632 0.54
0.048 35700 43.6 36.4 1.25 2.04 2.46 5800 11 1.319 1.657 4.58 229300 0.229 678 4.5 8 39900 0.0003902 0.539
0.067 36900 50 54.1 1.21 2.13 2.55 4200 8.1 1.375 1.666 4.33 235500 0.747 668 4 10.5 37400 0.000371 0.479
0.068 38600 47.6 51.1 1.2 2.23 2.57 4200 4.7 1.347 1.647 3.87 232400 0.22 699 4 2 38800 0.0003771 0.48
0.08 39700 42.5 41.8 1.2 2.06 2.23 1500 4.1 1.397 1.608 3.42 225200 0.491 665 4.5 2 32900 0.0003706 0.456
0.071 44600 38.6 49.2 1.14 2.23 2.36 4600 8.1 1.344 1.644 4.27 235700 0.278 661 4.5 2 38400 0.0003804 0.453
0.047 34100 48.1 43.8 1.15 2.07 2.48 1500 5.5 1.314 1.669 5.06 231700 0.766 697 4.5 10.5 26100 0.000356 0.527
0.079 39300 48 34.6 1.2 2.01 2.52 2900 7.6 1.335 1.668 4.22 239000 0.45 718 1 10.5 30900 0.0003786 0.489
0.063 33100 49.8 62.7 1.3 2.11 2.52 9400 8 1.344 1.648 3.52 238000 0.755 661 1 8 12700 0.0003742 0.466
0.06 32500 32 42.5 1.29 2.15 2.21 7800 8.8 1.346 1.663 4.63 241800 0.242 728 4 8 38200 0.0003561 0.546
0.075 37300 44.7 49.6 1.16 2.14 2.51 3800 10.2 1.318 1.614 3.95 225600 0.32 720 4.5 10.5 39600 0.0003848 0.533
0.067 30600 41.1 42.7 1.28 2.2 2.39 7800 11.5 1.304 1.64 5.3 234300 0.722 644 4 10.5 34200 0.0003928 0.466
0.057 32800 35.5 36.8 1.17 2.13 2.6 1300 10.6 1.337 1.661 5.1 222400 0.2 697 1 8 37100 0.0003748 0.547
0.058 37700 44.9 49.4 1.29 2 2.42 4000 7.9 1.343 1.681 5.2 224100 0.354 655 4.5 2 33200 0.000393 0.542
0.047 41600 39.7 26.8 1.11 1.95 2.56 3300 10.4 1.317 1.688 4.83 222900 0.314 724 4.5 8 33300 0.0003681 0.549
0.077 43900 41.3 41.7 1.3 2.07 2.57 9800 10.9 1.321 1.683 3.79 240700 0.206 713 4 2 13300 0.0003828 0.499
0.046 32500 35.4 59.5 1.14 2.25 2.55 1300 7.7 1.363 1.645 5.59 226300 0.599 644 4 10.5 21900 0.0003873 0.496
0.045 43200 39.3 61 1.2 1.96 2.26 1700 10 1.389 1.641 4.58 221100 0.407 685 4 8 31700 0.0003735 0.517
0.078 38300 27.8 58 1.11 2.03 2.44 1700 8.7 1.375 1.66 5.75 231000 0.257 684 4.5 8 34100 0.0003822 0.469
0.053 40900 32.8 20.5 1.15 1.93 2.28 9400 4.5 1.362 1.608 3.82 231200 0.695 659 4 10.5 33800 0.000367 0.457
