"soilcol" "z0m" "watertable"
4 0.001214 -2.1
3 5.9e-05 -2.4
2 0.000106 -5.9
4 2e-06 -5.3
4 0.000122 -2.8
6 0.000388 -4.5
6 0.000134 -5.4
7 0.000164 -6.9
6 0.000957 -7.8
2 0.001279 -9.6
3 0.000465 -5.1
7 0.000304 -8.6
6 0.000297 -9.8
5 0.000214 -3.3
7 0.004168 -7.2
8 0.000543 -9.8
4 0.000293 -8.1
3 0.001057 -3.4
6 0.000165 -4.2
6 0.000895 -4.6
8 2.9e-05 -3.2
2 3.6e-05 -2
5 7.9e-05 -4.6
7 5e-06 -5.2
4 0.000148 -1.1
1 0.003117 -5
5 1.1e-05 -6.1
2 0.000502 -6.3
1 1.7e-05 -6.1
3 5.5e-05 -4.4
6 0.000909 -9.4
3 1.8e-05 -5.1
7 4e-06 -8.4
4 0.000699 -4.9
6 0.000109 -3.8
3 0.000497 -5.2
5 2.9e-05 -3.4
3 6.7e-05 -4.8
3 4.4e-05 -2.7
5 4e-06 -5.8
8 0.000267 -5.7
6 0.000223 -5.5
3 0.00036 -6.2
8 0.000596 -5.5
7 2.3e-05 -2.1
6 7.8e-05 -3.9
7 5.5e-05 -9.3
4 0.000285 -1.2
4 0.000622 -6
6 0.000739 -9.1
4 5.4e-05 -5.7
4 4.3e-05 -4.2
1 0.000658 -3.2
3 0.00013 -8.3
2 6e-05 -9.9
7 0.00033 -6.5
6 0.000357 -7.3
3 0.000131 -3.8
2 2.9e-05 -6.5
3 5.8e-05 -5.5
4 1e-05 -5.7
8 0.000838 -8.6
2 1.6e-05 -1.9
2 0.000129 -7.3
3 0.00175 -9.9
8 7.8e-05 -8.1
3 0.000382 -3.5
4 0.000367 -9.3
2 6.8e-05 -7.6
7 1.7e-05 -2.3
7 7e-06 -1.9
4 4.4e-05 -4.6
7 0.000108 -3.2
7 0.003175 -6.8
8 4.8e-05 -2.2
7 0.000193 -7.5
5 0.000342 -9.2
5 1.6e-05 -6.4
4 1e-05 -4.3
3 0.000194 -5.4
2 8.7e-05 -4.1
8 0.000127 -3.8
2 0.000162 -9.6
4 0.000231 -10
5 0.00172 -6.9
7 9.3e-05 -2.4
2 0.000189 -2.4
2 3e-05 -8.6
6 5.1e-05 -3.1
7 0.000238 -8.2
6 1.8e-05 -9.7
5 0.000833 -1.3
2 2e-05 -1
3 0.006352 -9.2
6 0.005199 -7.3
8 0.000356 -7.7
1 0.00019 -2.7
8 0.000441 -6.6
5 2e-05 -1.7
1 0.000275 -7.8
7 0.000148 -4
3 0.000118 -4.1
7 0.000228 -1.3
7 2.5e-05 -6.1
3 0.001016 -5.7
2 0.000578 -9.6
3 8e-06 -2.5
3 8.2e-05 -3.1
5 0.000169 -3
5 0.001667 -8.4
2 0.000705 -1.6
7 0.000743 -1.6
7 0.000249 -5.3
4 1.8e-05 -2.5
5 0.000179 -5.5
1 3.6e-05 -8.5
6 5e-06 -2.4
2 8e-05 -7.2
4 0.000431 -4.2
4 9.9e-05 -3.2
6 0.000319 -4.6
7 0.000295 -5.6
7 0.000292 -8.6
6 4.9e-05 -6.7
5 6.7e-05 -1.1
7 2.1e-05 -3.1
3 0.000106 -7.6
7 9.7e-05 -6.1
4 0.000679 -7.4
6 9e-06 -7.6
7 2e-05 -7.4
3 7.1e-05 -3
3 4.6e-05 -6.1
5 2.7e-05 -7.5
7 7.2e-05 -9.7
5 0.00106 -4.7
7 0.000135 -5.2
6 0.000105 -2.7
3 0.000191 -7.5
5 0.000219 -6.5
4 1.5e-05 -5.7
3 0.001382 -7.1
3 4.6e-05 -9.8
6 3.7e-05 -5.2
5 3.7e-05 -2
6 0.000514 -1.2
6 0.000301 -3.6
8 0.00044 -7.4
5 0.000199 -2.2
3 5.7e-05 -4.7
7 5.6e-05 -9.1
4 4.8e-05 -9.3
6 0.001811 -9.7
2 1.6e-05 -1.6
4 6.2e-05 -9.1
4 0.000221 -9.1
7 0.000326 -5.2
6 0.000381 -5.1
6 9e-05 -9.2
2 3.7e-05 -7.7
6 0.00058 -6.3
3 5.9e-05 -8.6
5 6e-06 -3.4
7 0.000473 -4.7
4 0.003282 -2.8
3 2.7e-05 -1.2
3 0.000165 -7.8
7 8.4e-05 -1.3
7 5e-06 -1.3
4 0.000112 -8.7
8 3.2e-05 -5.7
6 7.1e-05 -2.9
6 6.6e-05 -6.3
8 0.000232 -9.3
7 3.7e-05 -4.5
6 0.000143 -9.3
4 6.3e-05 -6.5
8 9.8e-05 -6.9
2 0.004402 -1.8
7 0.000369 -5.6
4 0.000108 -10
3 8.2e-05 -2.8
7 3.1e-05 -5.5
2 0.002453 -4.4
5 5.1e-05 -7.2
