"lai" "lai0" "sai" "z0m" "dleaf" "rhol_vis" "rhol_nir" "rhos_vis" "rhos_nir" "taul_vis" "taul_nir" "taus_vis" "taus_nir" "xl" "fieldcap" "dewmx" "watertable" "soilcol" "wiltpt"
1.9 0.1 3.7 0.006 0.09 0.07 0.37 0.36 0.55 0.08 0.21 0.21 0.37 -0.14 0.94 0.1 -3.1 3 0.27
2.5 2.6 2.6 0.003 0.09 0.11 0.54 0.36 0.51 0.02 0.18 0.2 0.3 0.24 0.62 0.14 -4.2 7 0.16
2 2 2.3 0.007 0.02 0.07 0.51 0.32 0.58 0.07 0.21 0.17 0.35 -0.21 0.92 0.08 -8.1 3 0.13
2.9 2.9 2.8 0.006 0.12 0.08 0.54 0.35 0.59 0.07 0.44 0.21 0.36 -0.14 0.93 0.09 -5.7 4 0.3
1 1.1 0.9 0.009 0.14 0.1 0.52 0.3 0.58 0.05 0.23 0.17 0.32 0.36 0.74 0.08 -7.6 7 0.19
3.6 2.1 3.8 0.005 0.04 0.11 0.43 0.37 0.52 0.07 0.45 0.22 0.36 0.35 0.44 0.09 -2.8 4 0.26
3.9 0.2 2 0.005 0.03 0.11 0.48 0.37 0.59 0.03 0.39 0.16 0.36 0.22 0.72 0.06 -3 4 0.12
3.6 1.2 1.7 0.005 0.11 0.06 0.41 0.38 0.51 0.07 0.11 0.16 0.32 0.17 0.89 0.1 -7.7 6 0.27
3.9 1.8 2.8 0.009 0.01 0.11 0.54 0.34 0.52 0.05 0.37 0.15 0.37 -0.13 0.67 0.06 -7.3 5 0.16
1.6 1.6 2.9 0.005 0.1 0.07 0.47 0.39 0.54 0.06 0.33 0.23 0.37 -0.11 0.73 0.13 -2.9 7 0.22
1.8 0.8 2.4 0.003 0.03 0.07 0.53 0.32 0.54 0.08 0.42 0.25 0.37 -0.25 0.54 0.07 -7 2 0.14
3.7 2.2 2.8 0.012 0.12 0.09 0.42 0.37 0.54 0.04 0.15 0.18 0.37 0.03 0.57 0.1 -5.9 3 0.28
1.6 1 1.7 0.008 0.07 0.1 0.43 0.4 0.59 0.05 0.17 0.23 0.37 0.12 0.4 0.12 -4.2 5 0.11
2.8 1.1 3.5 0.003 0.15 0.07 0.38 0.34 0.56 0.02 0.33 0.2 0.3 -0.24 0.49 0.07 -4.3 3 0.16
1.9 1.3 2.6 0.009 0.09 0.09 0.52 0.36 0.6 0.07 0.43 0.21 0.39 0 0.46 0.15 -1.7 5 0.16
3.4 2.4 3.7 0.003 0.12 0.09 0.35 0.31 0.56 0.02 0.13 0.2 0.36 -0.08 0.74 0.12 -6.9 4 0.15
4 2.6 1.2 0.029 0.01 0.11 0.49 0.3 0.54 0.02 0.24 0.24 0.37 -0.26 0.93 0.06 -4.2 7 0.11
3.9 2.8 2.1 0.007 0.09 0.12 0.5 0.32 0.59 0.03 0.38 0.21 0.32 0.21 0.88 0.08 -8 7 0.19
1.5 0.7 1 0.007 0.08 0.1 0.53 0.31 0.53 0.03 0.17 0.19 0.36 -0.1 0.77 0.07 -8.7 6 0.17
1.2 1.5 3.1 0.002 0.11 0.1 0.42 0.35 0.54 0.09 0.11 0.19 0.32 0.11 0.37 0.07 -7.7 2 0.11
1.4 0.4 2.7 0.024 0.12 0.07 0.44 0.31 0.59 0.02 0.38 0.25 0.33 0 0.42 0.1 -6.6 4 0.17
1.3 2.9 1.3 0.016 0.06 0.11 0.46 0.33 0.6 0.04 0.27 0.25 0.39 0.07 0.6 0.12 -4.2 2 0.19
2.3 2.6 2.3 0.005 0.14 0.08 0.5 0.32 0.56 0.09 0.3 0.17 0.38 0.14 0.54 0.08 -6.6 5 0.28
3.9 0.1 3.7 0.018 0.05 0.12 0.39 0.36 0.57 0.07 0.35 0.16 0.39 0.03 0.64 0.1 -4.2 5 0.19
2.1 1.8 3 0.008 0.02 0.11 0.53 0.39 0.58 0.01 0.45 0.15 0.34 0.2 0.69 0.15 -3.7 8 0.26
2.4 1.8 3.8 0.006 0.12 0.11 0.38 0.36 0.57 0.07 0.19 0.16 0.34 0.24 0.9 0.1 -4.4 7 0.27
2.8 2.4 2.7 0.005 0.08 0.06 0.47 0.35 0.57 0.07 0.23 0.19 0.37 0.39 0.44 0.1 -3.2 2 0.12
2.4 2.5 1 0.006 0.09 0.07 0.37 0.35 0.58 0.07 0.28 0.17 0.37 0.37 0.74 0.1 -8.9 6 0.23
1.7 1.2 2.6 0.007 0.04 0.06 0.35 0.35 0.52 0.07 0.34 0.23 0.32 -0.11 0.41 0.14 -3.8 3 0.27
3.1 1.7 3.2 0.006 0.14 0.07 0.52 0.36 0.5 0.01 0.44 0.18 0.3 -0.26 0.85 0.14 -2.9 4 0.16
3.5 0.5 1.5 0.005 0.09 0.06 0.49 0.39 0.57 0.04 0.12 0.16 0.33 -0.12 0.44 0.1 -1.1 6 0.12
3.8 0.1 3.4 0.011 0.15 0.11 0.45 0.39 0.57 0.02 0.18 0.23 0.36 0.01 0.44 0.13 -1.1 4 0.13
3.5 1.9 3.1 0.006 0.09 0.09 0.48 0.34 0.52 0.02 0.13 0.17 0.34 -0.27 0.74 0.12 -5.3 2 0.2
2.4 2.3 2.8 0.008 0.03 0.1 0.48 0.4 0.51 0.02 0.4 0.24 0.39 -0.05 0.48 0.08 -7.5 7 0.17
1.1 0.9 1.7 0.009 0.06 0.11 0.47 0.39 0.57 0.07 0.36 0.23 0.34 -0.24 0.81 0.11 -3.7 6 0.1
1.6 1.9 3.4 0.005 0.05 0.07 0.44 0.37 0.58 0.09 0.35 0.18 0.34 -0.03 0.92 0.07 -4.3 7 0.18
2.2 0.5 3.9 0.006 0.11 0.06 0.39 0.3 0.57 0.02 0.44 0.24 0.31 0.13 0.43 0.12 -5.4 6 0.15
1.4 1.6 1.1 0.004 0.16 0.11 0.4 0.39 0.55 0.05 0.29 0.19 0.32 -0.11 0.93 0.09 -4.9 4 0.26
3.7 2.8 3.8 0.009 0.08 0.06 0.47 0.37 0.6 0.03 0.31 0.18 0.38 0.28 0.76 0.1 -8.9 3 0.25
3.3 2 3.3 0.003 0.02 0.12 0.44 0.31 0.56 0.01 0.23 0.15 0.35 0.24 0.43 0.14 -9.1 6 0.1
3.2 0.4 1.9 0.009 0.15 0.08 0.36 0.3 0.52 0.03 0.38 0.19 0.35 -0.24 0.48 0.12 -6.1 6 0.2
2.2 0.6 3.1 0.012 0.1 0.08 0.4 0.32 0.55 0.02 0.45 0.23 0.32 0.21 0.81 0.07 -7.7 7 0.24
1.7 2.6 1.7 0.005 0.12 0.09 0.46 0.31 0.56 0.02 0.16 0.2 0.33 0.31 0.39 0.14 -1.2 5 0.24
3.6 2.9 2.3 0.008 0.01 0.07 0.54 0.36 0.53 0.09 0.3 0.16 0.37 0.21 0.97 0.12 -5.1 4 0.19
1.3 1 0.6 0.008 0.13 0.08 0.51 0.35 0.6 0.07 0.27 0.23 0.31 -0.22 0.39 0.07 -9.2 1 0.17
2.1 2.4 3.1 0.005 0.15 0.11 0.51 0.31 0.58 0.08 0.13 0.16 0.34 -0.22 0.35 0.11 -1.2 8 0.14
1.7 2.2 2.5 0.009 0.04 0.09 0.46 0.37 0.55 0.05 0.37 0.16 0.35 -0.1 0.66 0.11 -2.4 3 0.12
1.9 1.3 2.2 0.004 0.06 0.06 0.38 0.31 0.5 0.01 0.17 0.24 0.33 0.3 0.84 0.08 -7.4 5 0.21
2.4 1.5 0.8 0.006 0.08 0.09 0.43 0.36 0.5 0.03 0.22 0.18 0.39 0.29 0.55 0.1 -5 7 0.21
3.1 1.9 0.6 0.007 0.07 0.06 0.52 0.39 0.51 0.01 0.3 0.24 0.37 -0.15 0.93 0.07 -1.9 2 0.19
2.7 0.8 2.2 0.004 0.04 0.08 0.53 0.34 0.59 0.08 0.11 0.22 0.38 -0.17 0.98 0.1 -6.1 6 0.1
1.4 0.4 1.7 0.005 0.06 0.11 0.36 0.37 0.55 0.03 0.18 0.24 0.39 0.3 0.36 0.06 -8 2 0.3
3 1.2 1.8 0.003 0.04 0.13 0.36 0.33 0.52 0.05 0.36 0.2 0.37 0.21 0.59 0.08 -1.3 3 0.18
1.3 0.5 3.4 0.015 0.08 0.07 0.47 0.34 0.53 0.04 0.37 0.17 0.31 -0.12 0.48 0.14 -8.4 5 0.24
2.3 2.3 3.7 0.009 0.1 0.08 0.37 0.34 0.58 0.03 0.35 0.21 0.31 -0.05 0.4 0.06 -1.3 6 0.12
3.5 0.7 1.3 0.003 0.05 0.12 0.36 0.38 0.52 0.03 0.31 0.24 0.34 0.08 0.88 0.07 -4 6 0.24
3.8 2.9 1.6 0.01 0.07 0.12 0.42 0.31 0.56 0.02 0.39 0.18 0.39 0.34 0.8 0.09 -2.3 4 0.2
1.6 0.3 1.6 0.007 0.04 0.13 0.46 0.32 0.53 0.06 0.28 0.22 0.37 -0.28 0.75 0.09 -9.8 4 0.26
1.5 2.9 2 0.01 0.03 0.08 0.47 0.38 0.51 0.03 0.38 0.16 0.39 -0.14 0.47 0.11 -5.4 2 0.23
3 2.3 0.8 0.005 0.14 0.11 0.52 0.36 0.56 0.08 0.44 0.25 0.3 0.14 0.91 0.12 -9.9 1 0.21
1.4 1 1.7 0.003 0.06 0.07 0.47 0.31 0.51 0.08 0.37 0.2 0.32 -0.05 0.55 0.06 -6.3 4 0.15
3.3 1.4 3.3 0.003 0.06 0.08 0.53 0.3 0.51 0.05 0.42 0.21 0.39 -0.11 0.63 0.07 -1.4 7 0.28
2.7 2.1 3.6 0.004 0.01 0.07 0.52 0.37 0.53 0.08 0.42 0.17 0.3 -0.06 0.42 0.1 -7.7 3 0.16
3 2.4 2.1 0.004 0.05 0.08 0.46 0.3 0.56 0.04 0.33 0.17 0.34 0.1 0.39 0.06 -2.5 3 0.18
1.5 0.5 1.2 0.006 0.07 0.08 0.47 0.34 0.5 0.07 0.41 0.22 0.33 0.23 0.68 0.06 -8.8 3 0.2
2 0.6 1.6 0.007 0.07 0.08 0.43 0.32 0.59 0.06 0.12 0.2 0.32 -0.18 0.33 0.13 -6.3 4 0.12
1.2 1.3 3 0.007 0.02 0.12 0.35 0.32 0.54 0.06 0.36 0.19 0.38 0.19 0.87 0.1 -4.1 5 0.22
3.2 0.7 1.6 0.008 0.12 0.09 0.37 0.38 0.51 0.03 0.42 0.25 0.39 -0.11 0.58 0.1 -2.2 5 0.13
2.8 2.6 1.4 0.006 0.13 0.08 0.52 0.35 0.5 0.03 0.2 0.23 0.31 0.16 0.43 0.07 -7.1 3 0.13
2.9 2.6 2.6 0.006 0.11 0.11 0.45 0.36 0.5 0.05 0.2 0.23 0.39 0.39 0.3 0.07 -8.8 5 0.11
1.4 2.7 0.9 0.003 0.13 0.07 0.51 0.32 0.6 0.06 0.32 0.21 0.33 0.07 0.89 0.12 -7.6 3 0.29
3.3 2 3.6 0.005 0.07 0.12 0.38 0.36 0.53 0.06 0.26 0.2 0.36 0.05 0.37 0.14 -3.2 1 0.13
1.4 2.3 2.1 0.012 0.14 0.11 0.45 0.36 0.6 0.08 0.34 0.15 0.31 -0.1 0.79 0.06 -3.7 7 0.25
2.8 2 3.4 0.006 0.14 0.09 0.38 0.3 0.58 0.06 0.26 0.24 0.35 -0.24 0.31 0.07 -4 2 0.16
3.8 1.7 2.7 0.003 0.13 0.11 0.49 0.34 0.59 0.02 0.42 0.17 0.37 -0.17 0.57 0.09 -5.5 6 0.22
3.1 0.2 2.6 0.009 0.01 0.06 0.46 0.3 0.58 0.03 0.13 0.2 0.37 -0.02 0.94 0.11 -3 3 0.21
2.7 2.7 0.8 0.004 0.03 0.11 0.53 0.37 0.55 0.04 0.18 0.2 0.35 0.36 0.41 0.06 -4.4 6 0.25
2.1 0.7 0.9 0.005 0.16 0.09 0.55 0.33 0.58 0.04 0.31 0.16 0.34 -0.09 0.54 0.09 -6.9 6 0.29
3.2 1.6 2.5 0.009 0.03 0.12 0.52 0.31 0.57 0.02 0.28 0.18 0.34 0.24 0.88 0.12 -8.6 3 0.21
1.7 2.3 1.5 0.004 0.01 0.07 0.51 0.35 0.56 0.03 0.15 0.17 0.35 -0.29 0.48 0.13 -8.2 4 0.14
1.9 1 1.5 0.007 0.12 0.08 0.44 0.32 0.52 0.02 0.24 0.2 0.3 0.01 0.85 0.08 -5 2 0.21
2.6 2.9 3.9 0.008 0.09 0.11 0.36 0.3 0.6 0.03 0.21 0.22 0.38 -0.16 0.52 0.11 -1.7 4 0.14
3.3 0.5 3.7 0.012 0.15 0.08 0.49 0.37 0.52 0.04 0.26 0.24 0.38 0.32 0.49 0.05 -5.2 8 0.15
3.1 0.9 2.1 0.005 0.08 0.06 0.52 0.32 0.53 0.09 0.4 0.25 0.32 -0.14 0.52 0.12 -5.1 6 0.16
1.8 0.2 2.5 0.002 0.06 0.08 0.54 0.39 0.51 0.01 0.4 0.16 0.31 0.06 0.38 0.13 -4.4 5 0.19
1.1 2 1.9 0.004 0.07 0.08 0.39 0.38 0.56 0.07 0.2 0.18 0.32 0.23 0.61 0.09 -3.8 2 0.25
3.1 1.5 2.2 0.01 0.16 0.1 0.5 0.34 0.6 0.08 0.33 0.22 0.33 -0.16 0.32 0.14 -6.6 5 0.11
3.7 1.4 3.3 0.006 0.08 0.07 0.42 0.36 0.59 0.04 0.3 0.19 0.38 0.39 0.41 0.15 -6.4 5 0.25
3.4 2.1 3.5 0.008 0.11 0.11 0.38 0.36 0.56 0.06 0.23 0.17 0.32 0.22 0.48 0.06 -2.7 6 0.15
3 0.7 3.9 0.007 0.15 0.12 0.45 0.34 0.56 0.06 0.25 0.23 0.4 -0.15 0.88 0.1 -2.5 3 0.24
1.6 2.2 1 0.004 0.03 0.13 0.45 0.38 0.51 0.08 0.26 0.22 0.36 0.04 0.5 0.07 -3.7 4 0.15
3.6 1 3.1 0.005 0.06 0.09 0.38 0.34 0.5 0.04 0.16 0.2 0.31 -0.21 0.52 0.12 -8.3 8 0.12
1.1 2.6 2.1 0.007 0.09 0.11 0.44 0.35 0.51 0.06 0.14 0.21 0.35 0.07 0.46 0.12 -6.1 4 0.2
1.7 2.2 1.1 0.004 0.08 0.11 0.48 0.33 0.57 0.08 0.17 0.19 0.35 -0.05 0.41 0.11 -9.9 2 0.19
3.1 0.6 0.7 0.007 0.06 0.11 0.42 0.36 0.53 0.06 0.41 0.24 0.39 -0.03 0.52 0.09 -9.8 5 0.3
2 0.4 3.7 0.006 0.02 0.11 0.55 0.34 0.52 0.04 0.15 0.25 0.36 0.06 0.45 0.12 -3.1 3 0.26
3.5 1 4 0.007 0.05 0.07 0.54 0.34 0.56 0.02 0.36 0.16 0.38 -0.01 0.41 0.07 -8.1 8 0.24
1.8 2.1 2.9 0.004 0.01 0.1 0.48 0.33 0.53 0.07 0.22 0.16 0.38 -0.29 1 0.14 -1.3 3 0.24
3 2.2 3.4 0.002 0.15 0.08 0.46 0.35 0.52 0.07 0.12 0.18 0.4 -0.15 0.45 0.06 -8.2 5 0.11
2.2 0.2 2.6 0.016 0.07 0.11 0.53 0.31 0.59 0.03 0.13 0.18 0.39 0.15 0.37 0.13 -9.2 5 0.16
2.5 1.9 1.7 0.007 0.03 0.07 0.38 0.33 0.6 0.08 0.12 0.21 0.37 0.14 0.44 0.06 -7.3 6 0.24
2.2 0.3 3.9 0.008 0.12 0.1 0.54 0.34 0.59 0.06 0.33 0.24 0.38 -0.07 0.44 0.06 -8.5 4 0.26
1.3 2 3.4 0.005 0.1 0.13 0.46 0.33 0.57 0.08 0.12 0.16 0.37 0.16 0.45 0.09 -8 5 0.11
3.3 0.6 2.7 0.01 0.09 0.08 0.4 0.32 0.55 0.02 0.33 0.2 0.4 -0.15 0.82 0.13 -3.4 7 0.3
2.2 0.4 1 0.005 0.08 0.1 0.46 0.33 0.55 0.06 0.41 0.23 0.35 0.11 0.9 0.05 -8.5 6 0.25
4 1.6 2 0.011 0.1 0.12 0.37 0.36 0.55 0.08 0.31 0.22 0.31 0.23 0.87 0.09 -6.3 2 0.17
3 0.6 3.5 0.008 0.06 0.09 0.37 0.35 0.58 0.06 0.21 0.16 0.31 -0.22 0.7 0.07 -3.3 4 0.3
1.8 2.2 2.6 0.007 0.14 0.07 0.47 0.37 0.54 0.08 0.35 0.22 0.35 -0.11 0.38 0.08 -8.2 4 0.28
1.9 2.7 3 0.004 0.07 0.07 0.43 0.37 0.56 0.02 0.1 0.22 0.32 -0.12 0.83 0.06 -7.9 2 0.27
2.7 0.4 1.4 0.004 0.14 0.13 0.38 0.33 0.5 0.05 0.41 0.16 0.32 0.3 0.47 0.12 -8.4 2 0.19
2.2 0.5 2 0.006 0.06 0.11 0.41 0.34 0.6 0.04 0.4 0.16 0.35 -0.05 0.98 0.06 -9.8 2 0.11
2.6 2 3.8 0.003 0.12 0.12 0.4 0.39 0.53 0.04 0.14 0.19 0.36 0.24 0.4 0.07 -8.1 1 0.27
2.1 1.3 2.2 0.004 0.14 0.09 0.53 0.39 0.59 0.06 0.18 0.16 0.34 0.33 0.9 0.09 -1.3 4 0.28
2 0.6 0.8 0.013 0.1 0.1 0.43 0.38 0.54 0.06 0.26 0.21 0.32 0.14 0.44 0.11 -2.2 4 0.23
3.3 2.3 2 0.006 0.01 0.1 0.48 0.39 0.58 0.09 0.19 0.22 0.31 0.02 0.31 0.12 -9.6 5 0.11
2.7 1.4 1.3 0.004 0.12 0.08 0.46 0.4 0.54 0.03 0.11 0.21 0.34 -0.22 0.76 0.08 -2.6 5 0.21
2.7 0.7 2.4 0.006 0.14 0.09 0.43 0.38 0.53 0.04 0.31 0.21 0.34 -0.21 0.65 0.07 -7.3 6 0.27
3 0.1 2.6 0.008 0.13 0.1 0.53 0.32 0.59 0.07 0.31 0.15 0.33 0.05 0.69 0.06 -4.3 7 0.13
3.4 1 2.4 0.008 0.14 0.12 0.44 0.32 0.57 0.05 0.41 0.2 0.32 0.35 0.93 0.08 -5 3 0.1
1.7 2.8 2.5 0.007 0.15 0.09 0.36 0.32 0.52 0.02 0.31 0.21 0.32 0.11 0.49 0.14 -7.6 5 0.3
3.9 0.2 2.3 0.011 0.03 0.1 0.43 0.35 0.53 0.01 0.23 0.16 0.37 -0.14 0.44 0.08 -5.1 5 0.11
3.3 1.2 1 0.005 0.15 0.08 0.37 0.39 0.59 0.03 0.23 0.2 0.35 -0.02 0.97 0.15 -9.9 1 0.17
1.4 0.1 0.6 0.013 0.12 0.07 0.46 0.31 0.56 0.06 0.14 0.19 0.31 0.39 0.56 0.11 -6.3 8 0.29
2.9 2.9 1.4 0.012 0.12 0.1 0.41 0.34 0.51 0.08 0.26 0.24 0.39 -0.26 0.73 0.07 -7.6 7 0.1
2.8 0.1 3.4 0.004 0.09 0.09 0.35 0.31 0.5 0.01 0.35 0.19 0.31 -0.03 0.37 0.05 -3.6 1 0.14
3.9 2.7 2.8 0.003 0.12 0.08 0.36 0.32 0.59 0.07 0.11 0.18 0.38 0 0.66 0.12 -1.9 8 0.19
2.6 2.4 1.8 0.008 0.16 0.12 0.49 0.4 0.51 0.03 0.28 0.24 0.34 0.36 0.67 0.06 -5.8 3 0.25
2.4 1.3 2.2 0.021 0.15 0.11 0.44 0.38 0.58 0.09 0.3 0.25 0.32 -0.15 0.36 0.15 -1.7 4 0.16
1.7 3 1.8 0.005 0.16 0.09 0.4 0.32 0.51 0.05 0.35 0.25 0.37 0.35 0.8 0.08 -3.5 4 0.15
1.5 2.2 2.1 0.005 0.14 0.12 0.48 0.39 0.54 0.02 0.15 0.2 0.37 -0.3 0.71 0.06 -1.7 5 0.28
2.2 0.9 2.3 0.003 0.02 0.13 0.42 0.38 0.59 0.02 0.29 0.17 0.39 0.03 0.56 0.1 -6 6 0.22
2.8 0.1 0.8 0.011 0.13 0.11 0.48 0.36 0.55 0.02 0.39 0.15 0.4 -0.26 0.77 0.07 -3.4 7 0.14
1.6 2.8 3.7 0.004 0.1 0.08 0.43 0.38 0.54 0.08 0.27 0.19 0.3 0.2 0.83 0.11 -7.3 7 0.12
2.6 3 2.2 0.003 0.13 0.07 0.37 0.35 0.55 0.06 0.19 0.16 0.31 -0.25 0.67 0.07 -4.2 3 0.26
1.4 1.6 0.7 0.009 0.1 0.11 0.44 0.4 0.54 0.07 0.41 0.19 0.35 0.13 0.51 0.12 -8 4 0.17
2.8 1 2.3 0.005 0.14 0.08 0.54 0.3 0.56 0.07 0.37 0.21 0.37 -0.3 0.59 0.09 -9.4 4 0.13
3.3 0.9 2.6 0.005 0.06 0.06 0.49 0.36 0.53 0.06 0.35 0.21 0.4 0.31 0.85 0.06 -6.1 6 0.23
3.4 2.9 1.4 0.006 0.08 0.07 0.48 0.33 0.53 0.03 0.19 0.21 0.38 0.15 0.41 0.09 -7.4 3 0.26
3.4 1.1 1.1 0.007 0.01 0.09 0.55 0.38 0.58 0.04 0.14 0.17 0.32 0.02 0.77 0.13 -6.8 4 0.16
1.8 2.5 3.6 0.008 0.13 0.1 0.47 0.35 0.6 0.03 0.27 0.2 0.34 0.29 0.33 0.05 -1.9 4 0.15
3.5 0.3 3 0.009 0.04 0.08 0.49 0.33 0.55 0.04 0.17 0.16 0.39 -0.09 0.65 0.05 -7.3 1 0.13
2.1 1.8 1.1 0.012 0.07 0.06 0.37 0.39 0.55 0.08 0.22 0.16 0.37 -0.06 0.39 0.14 -8.9 8 0.24
1.2 2.2 2.5 0.004 0.14 0.11 0.4 0.3 0.59 0.08 0.13 0.24 0.36 0.05 0.67 0.06 -7.7 4 0.26
1.9 0.7 0.7 0.003 0.02 0.11 0.54 0.34 0.55 0.04 0.18 0.22 0.39 0.35 0.6 0.13 -8.7 7 0.29
1.7 0.5 1.9 0.008 0.14 0.1 0.49 0.33 0.59 0.01 0.28 0.16 0.37 -0.22 0.84 0.07 -4.9 1 0.12
2.7 2.5 3.2 0.008 0.06 0.11 0.5 0.36 0.58 0.03 0.43 0.19 0.4 0.27 0.43 0.08 -9.3 7 0.28
